Country Name,Country Code,Series Name,Series Code,2015 [YR2015]
Greenland,GRL,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Grenada,GRD,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-135207147.804815
Guam,GUM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Guatemala,GTM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1048092040
Guinea,GIN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-48257258.4212994
Guinea-Bissau,GNB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-16230041.4122476
Guyana,GUY,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-137700000
Haiti,HTI,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-105680000
Heavily indebted poor countries (HIPC),HPC,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
High income,HIC,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Honduras,HND,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-951580322.068714
"Hong Kong SAR, China",HKG,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-102532361408.386
Hungary,HUN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-2672663288.52727
IBRD only,IBD,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Iceland,ISL,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-695187948.262079
IDA & IBRD total,IBT,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
IDA blend,IDB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
IDA only,IDX,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
IDA total,IDA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
India,IND,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-36495216490.7242
Indonesia,IDN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-10704478316.6269
